,link,conference,title
0,http://aclweb.org/anthology/D17-1144,emnlp-2017,identifying attack and support argumentative relations using deep learning
1,http://aclweb.org/anthology/P17-1032,acl-2017,deep learning in semantic kernel spaces
2,http://aclweb.org/anthology/P17-2008,acl-2017,incorporating uncertainty into deep learning for spoken language assessment
3,http://aclweb.org/anthology/P17-5003,acl-2017,deep learning for semantic composition
4,http://aclweb.org/anthology/P17-5004,acl-2017,deep learning for dialogue systems
5,http://aclweb.org/anthology/P17-5005,acl-2017,beyond words: deep learning for multiword expressions and collocations
